source ip,destination ip,source port,destination port,protocol,timestamp,flow duration,flow bytes/s,flow packets/s,fwd packets/s,bwd packets/s,Total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,max packet length,min packet length,packet length mean,packet length std,packet length variance,fwd header length,bwd header length,min seg size forward,act data pkt fwd,flow iat mean,flow iat max,flow iat min,flow iat std,fwd iat total,fwd iat max,fwd iat min,fwd iat mean,fwd iat std,bwd iat total,bwd iat max,bwd iat min,bwd iat mean,bwd iat std,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,ece flag count,down/up ratio,average packet size,Init win bytes forward,init win bytes backward,active max,active min,active mean,active std,idle max,idle min,idle mean,idle std,fwd avg bytes/bulk,fwd avg packets/bulk,bwd avg bytes/bulk,bwd avg packets/bulk,fwd avg bulk rate,bwd avg bulk rate,avg fwd segment size,avg bwd segment size,cwe flag count,subflow fwd packets,subflow bwd packets,subflow fwd bytes,subflow bwd bytes
192.168.1.9,192.168.1.51,63959,80,6,2023-12-01 10:17:14,7453870.0,489.67851599236400,1.878218965450160,1.0732679802572400,0.8049509851929270,8,6,1359,2291,499.0,66.0,169.875,176.8858653906520,1039.0,66.0,381.8333333333330,444.1630393848140,1039,66,260.7142857142860,336.7944325488740,113430.48979591800,160,120,0,2,573374.6153846150,5004845.0,100.0,1429117.8349309100,7453770.0,5005792.0,631.0,1064824.2857142900,1808602.673658610,7453649.0,5005528.0,1360.0,1490729.8,1986222.2341412300,0,0,0,0,1,0,0,0,0,0,0,0.75,260.7142857142860,65535,503,5003898.0,110.0,1260865.5,2161079.5492647300,5004162.0,5850.0,1861593.75,2058592.482165470,0.0,0.0,0.0,0.0,0.0,0.0,169.875,381.8333333333330,0,8,6,1359,2291
192.168.1.9,192.168.1.51,63960,80,6,2023-12-01 10:17:14,14485330.0,707.6124603305550,2.2091315834710000,1.3807072396693800,0.8284243438016260,20,12,5109,5141,552.0,66.0,255.45,231.0215303819110,981.0,66.0,428.4166666666670,279.57332321871400,981,66,320.3125,263.968208017083,69679.21484375,400,240,0,8,467268.70967741900,3026053.0,0.0,961084.0631268090,14485322.0,3026053.0,0.0,762385.3684210530,1132284.84898081,14485269.0,3026891.0,59.0,1316842.6363636400,1219852.2275527200,0,0,0,0,1,0,0,0,0,0,0,0.6,320.3125,65535,501,3025687.0,289.0,1635558.5714285700,1037759.988021850,3025558.0,1022336.0,2067112.857142860,884815.6087454330,0.0,0.0,0.0,0.0,0.0,0.0,255.45,428.4166666666670,0,20,12,5109,5141
192.168.1.9,192.168.1.51,63962,80,6,2023-12-01 10:17:30,3276.0,524420.0244200250,3357.7533577533600,1831.5018315018300,1526.2515262515300,6,5,894,824,552.0,66.0,149.0,180.2803372528460,552.0,66.0,164.8,193.6247918010500,552,66,156.1818181818180,186.63031916882600,34830.876033057800,120,100,0,1,327.6,1959.0,0.0,558.8892913627890,3261.0,2560.0,0.0,652.2,963.0685126199490,3189.0,1959.0000000000000,131.0,797.25,694.3206661910620,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333330,156.1818181818180,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,164.8,0,6,5,894,824
192.168.1.9,192.168.1.51,63963,80,6,2023-12-01 10:17:33,121380688.0,576.1295404751700,1.4746991712553200,0.9803865998848190,0.4943125713704970,119,60,37542,32389,665.0,66.0,315.47899159663900,252.3548205226120,557.0,66.0,539.8166666666670,87.2459152179758,665,66,390.67597765363100,236.8609332782210,56103.10171342970,2380,1200,0,59,681913.9775280900,3030929.0,39.0,1093158.128816110,121380688.0,3030929.0,91.0,1028649.8983050800,1202476.4139387800,118359349.0,3032152.0,464.0,2006090.6610169500,912956.0814377970,0,0,0,0,1,0,0,0,0,0,0,0.5042016806722690,390.67597765363100,65535,501,3029133.0,298.0,2039165.8103448300,881486.2069017980,3030393.0,1021023.0,2091234.2241379300,848051.9186874000,0.0,0.0,0.0,0.0,0.0,0.0,315.47899159663900,539.8166666666670,0,119,60,37542,32389
192.168.1.51,192.168.1.9,80,63963,6,2023-12-01 10:19:35,84041092.0,601.2415926247130,1.5706602194079100,0.5354523475254220,1.0352078718824800,45,87,23995,26534,556.0,66.0,533.2222222222220,100.90234858821300,601.0,66.0,304.98850574712600,247.7951737700800,601,66,382.79545454545500,235.89178755074200,55644.9354338843,900,1740,0,43,641535.0534351150,3028503.0,0.0,1044880.8098763000,84041092.0,3030290.0,144.0,1910024.8181818200,912253.3587151920,84040640.0,3028503.0,0.0,977216.7441860470,1155432.376414260,0,0,0,0,1,0,0,0,0,0,0,1.9333333333333300,382.79545454545500,501,2048,3028012.0,422.0,1927291.642857140,868950.9965688470,3027817.0,1019443.0,1999248.8095238100,830554.3483048000,0.0,0.0,0.0,0.0,0.0,0.0,533.2222222222220,304.98850574712600,0,45,87,23995,26534
192.168.1.9,192.168.1.51,63965,80,6,2023-12-01 10:21:01,120332851.0,594.6173418595390,1.4626097407099600,0.9723030662674150,0.49030667444254300,117,59,39719,31833,755.0,66.0,339.4786324786330,277.4517313311320,557.0,66.0,539.542372881356,87.95652277946290,755,66,406.54545454545500,250.3736484596080,62686.96384297520,2340,1180,0,58,687616.2914285720,3024359.0,105.0,1089171.3589483500,120332851.0,3024359.0,162.0,1037352.1637931000,1194516.2320444000,118309838.0,3025476.0,645.0,2039824.7931034500,882444.1426951190,0,0,0,0,1,0,0,0,0,0,0,0.5042735042735040,406.54545454545500,65535,501,3023846.0,323.0,2074231.649122810,847374.0769796450,3024009.0,1019251.0,2109701.8771929800,800867.3085720290,0.0,0.0,0.0,0.0,0.0,0.0,339.4786324786330,539.542372881356,0,117,59,39719,31833
192.168.1.51,192.168.1.9,80,63965,6,2023-12-01 10:23:01,90998901.0,592.7983679714990,1.4835344000473100,0.5055006103864920,0.9780337896608220,46,89,24551,29393,556.0,66.0,533.7173913043480,99.85482136440110,785.0,66.0,330.2584269662920,275.2978582255830,785,66,399.5851851851850,250.32181909265200,62661.013113854600,920,1780,0,44,679096.276119403,3024837.0,1.0,1086532.177750090,90998901.0,3026294.0,146.0,2022197.8,896608.7166119430,90998481.0,3024837.0,1.0,1034073.6477272700,1196072.637769560,0,0,0,0,1,0,0,0,0,0,0,1.934782608695650,399.5851851851850,501,2048,3024346.0,385.0,2090917.8837209300,847314.4424982400,3024490.0,1020768.0,2114673.4418604700,801283.8812605770,0.0,0.0,0.0,0.0,0.0,0.0,533.7173913043480,330.2584269662920,0,46,89,24551,29393
192.168.1.9,192.168.1.51,63970,80,6,2023-12-01 10:24:34,14150213.0,686.4207627121940,2.049439114450080,1.2720656572448800,0.7773734572052030,18,11,5552,4161,785.0,66.0,308.44444444444400,305.9072521428350,557.0,66.0,378.27272727272700,234.55648317975100,785,66,334.9310344827590,283.0195473978340,80100.06420927470,360,220,0,7,505364.75,3023638.0,0.0,1026340.7345407000,14150205.0,3023638.0,0.0,832365.0,1209457.8433084600,14149179.0,3024605.0,54.0,1414917.9,1290676.2659322800,0,0,0,0,1,0,0,0,0,0,0,0.6111111111111110,334.9310344827590,65535,501,3023286.0,359.0,2185486.0,1074651.8090150600,3023279.0,1023286.0,2355980.8333333300,745034.391791282,0.0,0.0,0.0,0.0,0.0,0.0,308.44444444444400,378.27272727272700,0,18,11,5552,4161
192.168.1.9,192.168.1.51,63971,80,6,2023-12-01 10:24:49,2425.0,712989.6907216490,4536.082474226800,2474.226804123710,2061.8556701030900,6,5,905,824,563.0,66.0,150.83333333333300,184.37861107574900,552.0,66.0,164.8,193.6247918010500,563,66,157.1818181818180,188.76576065773700,35632.51239669420,120,100,0,1,242.5,1111.0,0.0,312.6561210019720,2418.0,1454.0,0.0,483.6,507.52284677637900,2308.0,1111.0,61.0,577.0,372.07257356596400,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333330,157.1818181818180,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.83333333333300,164.8,0,6,5,905,824
192.168.1.9,192.168.1.51,63972,80,6,2023-12-01 10:24:51,2312.0,751730.1038062280,4757.785467128030,2595.155709342560,2162.6297577854700,6,5,914,824,572.0,66.0,152.33333333333300,187.7317826640500,552.0,66.0,164.8,193.6247918010500,572,66,158.0,190.53417732069200,36303.27272727270,120,100,0,1,231.2,989.0,1.0,294.5321035133520,2301.0,1326.0,1.0,460.2,471.76918085012700,2231.0,989.0000000000000,52.0,557.75,349.1964883844050,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333330,158.0,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.33333333333300,164.8,0,6,5,914,824
