src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.9,192.168.1.51,63959,80,6,2023-12-01 10:17:14,7453870.0,489.67851599236366,1.878218965450162,1.0732679802572356,0.8049509851929266,8,6,1359,2291,499.0,66.0,169.875,176.8858653906524,1039.0,66.0,381.8333333333333,444.1630393848137,1039,66,260.7142857142857,336.7944325488744,113430.48979591831,160,120,0,2,573374.6153846154,5004845.0,100.0,1429117.8349309133,7453770.0,5005792.0,631.0,1064824.2857142857,1808602.673658607,7453649.0,5005528.0,1360.0,1490729.8,1986222.2341412252,0,0,0,0,1,0,0,0,0,0,0,0.75,260.7142857142857,65535,503,5003898.0,110.0,1260865.5,2161079.5492647304,5004162.0,5850.0,1861593.75,2058592.482165469,0.0,0.0,0.0,0.0,0.0,0.0,169.875,381.8333333333333,0,8,6,1359,2291
192.168.1.9,192.168.1.51,63960,80,6,2023-12-01 10:17:14,14485330.0,707.6124603305551,2.2091315834710015,1.3807072396693758,0.8284243438016256,20,12,5109,5141,552.0,66.0,255.45,231.0215303819105,981.0,66.0,428.4166666666667,279.57332321871405,981,66,320.3125,263.968208017083,69679.21484375,400,240,0,8,467268.70967741933,3026053.0,0.0,961084.0631268085,14485322.0,3026053.0,0.0,762385.3684210526,1132284.84898081,14485269.0,3026891.0,59.0,1316842.6363636365,1219852.2275527155,0,0,0,0,1,0,0,0,0,0,0,0.6,320.3125,65535,501,3025687.0,289.0,1635558.5714285714,1037759.988021846,3025558.0,1022336.0,2067112.857142857,884815.6087454329,0.0,0.0,0.0,0.0,0.0,0.0,255.45,428.4166666666667,0,20,12,5109,5141
192.168.1.9,192.168.1.51,63962,80,6,2023-12-01 10:17:30,3276.0,524420.0244200245,3357.7533577533577,1831.5018315018317,1526.2515262515262,6,5,894,824,552.0,66.0,149.0,180.2803372528463,552.0,66.0,164.8,193.6247918010501,552,66,156.1818181818182,186.63031916882596,34830.876033057844,120,100,0,1,327.6,1959.0,0.0,558.8892913627886,3261.0,2560.0,0.0,652.2,963.0685126199485,3189.0,1958.9999999999998,131.0,797.25,694.3206661910618,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,156.1818181818182,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,164.8,0,6,5,894,824
192.168.1.9,192.168.1.51,63963,80,6,2023-12-01 10:17:33,121380688.0,576.1295404751701,1.4746991712553152,0.9803865998848186,0.4943125713704967,119,60,37542,32389,665.0,66.0,315.47899159663865,252.3548205226124,557.0,66.0,539.8166666666667,87.2459152179758,665,66,390.67597765363126,236.8609332782206,56103.10171342967,2380,1200,0,59,681913.9775280899,3030929.0,39.0,1093158.128816111,121380688.0,3030929.0,91.0,1028649.8983050848,1202476.4139387826,118359349.0,3032152.0,464.0,2006090.6610169492,912956.0814377974,0,0,0,0,1,0,0,0,0,0,0,0.5042016806722689,390.67597765363126,65535,501,3029133.0,298.0,2039165.8103448276,881486.2069017979,3030393.0,1021023.0,2091234.2241379311,848051.9186874002,0.0,0.0,0.0,0.0,0.0,0.0,315.47899159663865,539.8166666666667,0,119,60,37542,32389
192.168.1.51,192.168.1.9,80,63963,6,2023-12-01 10:19:35,84041092.0,601.2415926247127,1.5706602194079058,0.5354523475254224,1.0352078718824833,45,87,23995,26534,556.0,66.0,533.2222222222222,100.90234858821317,601.0,66.0,304.98850574712645,247.7951737700801,601,66,382.79545454545456,235.89178755074178,55644.9354338843,900,1740,0,43,641535.0534351146,3028503.0,0.0,1044880.8098763038,84041092.0,3030290.0,144.0,1910024.8181818181,912253.3587151921,84040640.0,3028503.0,0.0,977216.7441860465,1155432.376414261,0,0,0,0,1,0,0,0,0,0,0,1.9333333333333333,382.79545454545456,501,2048,3028012.0,422.0,1927291.642857143,868950.9965688465,3027817.0,1019443.0,1999248.8095238095,830554.3483048002,0.0,0.0,0.0,0.0,0.0,0.0,533.2222222222222,304.98850574712645,0,45,87,23995,26534
192.168.1.9,192.168.1.51,63965,80,6,2023-12-01 10:21:01,120332851.0,594.6173418595392,1.4626097407099579,0.9723030662674151,0.49030667444254267,117,59,39719,31833,755.0,66.0,339.4786324786325,277.4517313311321,557.0,66.0,539.542372881356,87.95652277946292,755,66,406.54545454545456,250.3736484596077,62686.96384297521,2340,1180,0,58,687616.2914285715,3024359.0,105.0,1089171.3589483497,120332851.0,3024359.0,162.0,1037352.1637931034,1194516.2320444002,118309838.0,3025476.0,645.0,2039824.7931034483,882444.1426951186,0,0,0,0,1,0,0,0,0,0,0,0.5042735042735043,406.54545454545456,65535,501,3023846.0,323.0,2074231.649122807,847374.0769796448,3024009.0,1019251.0,2109701.8771929825,800867.3085720293,0.0,0.0,0.0,0.0,0.0,0.0,339.4786324786325,539.542372881356,0,117,59,39719,31833
192.168.1.51,192.168.1.9,80,63965,6,2023-12-01 10:23:01,90998901.0,592.7983679714989,1.4835344000473147,0.5055006103864924,0.9780337896608223,46,89,24551,29393,556.0,66.0,533.7173913043479,99.85482136440106,785.0,66.0,330.2584269662921,275.2978582255826,785,66,399.5851851851852,250.32181909265242,62661.013113854606,920,1780,0,44,679096.276119403,3024837.0,1.0,1086532.177750088,90998901.0,3026294.0,146.0,2022197.8,896608.7166119431,90998481.0,3024837.0,1.0,1034073.6477272727,1196072.637769556,0,0,0,0,1,0,0,0,0,0,0,1.934782608695652,399.5851851851852,501,2048,3024346.0,385.0,2090917.8837209302,847314.4424982397,3024490.0,1020768.0,2114673.4418604653,801283.8812605768,0.0,0.0,0.0,0.0,0.0,0.0,533.7173913043479,330.2584269662921,0,46,89,24551,29393
192.168.1.9,192.168.1.51,63970,80,6,2023-12-01 10:24:34,14150213.0,686.4207627121938,2.049439114450079,1.2720656572448767,0.7773734572052025,18,11,5552,4161,785.0,66.0,308.44444444444446,305.9072521428353,557.0,66.0,378.27272727272725,234.55648317975118,785,66,334.9310344827586,283.0195473978337,80100.06420927466,360,220,0,7,505364.75,3023638.0,0.0,1026340.7345407006,14150205.0,3023638.0,0.0,832365.0,1209457.8433084607,14149179.0,3024605.0,54.0,1414917.9,1290676.2659322787,0,0,0,0,1,0,0,0,0,0,0,0.6111111111111112,334.9310344827586,65535,501,3023286.0,359.0,2185486.0,1074651.8090150564,3023279.0,1023286.0,2355980.8333333335,745034.391791282,0.0,0.0,0.0,0.0,0.0,0.0,308.44444444444446,378.27272727272725,0,18,11,5552,4161
192.168.1.9,192.168.1.51,63971,80,6,2023-12-01 10:24:49,2425.0,712989.6907216494,4536.082474226804,2474.226804123711,2061.8556701030925,6,5,905,824,563.0,66.0,150.83333333333334,184.37861107574872,552.0,66.0,164.8,193.6247918010501,563,66,157.1818181818182,188.76576065773742,35632.51239669421,120,100,0,1,242.5,1111.0,0.0,312.6561210019724,2418.0,1454.0,0.0,483.6,507.52284677637914,2308.0,1111.0,61.0,577.0,372.07257356596443,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,157.1818181818182,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.83333333333334,164.8,0,6,5,905,824
192.168.1.9,192.168.1.51,63972,80,6,2023-12-01 10:24:51,2312.0,751730.1038062284,4757.785467128028,2595.155709342561,2162.6297577854675,6,5,914,824,572.0,66.0,152.33333333333334,187.7317826640503,552.0,66.0,164.8,193.6247918010501,572,66,158.0,190.53417732069155,36303.27272727273,120,100,0,1,231.2,989.0,1.0,294.5321035133522,2301.0,1326.0,1.0,460.2,471.76918085012716,2231.0,989.0000000000001,52.0,557.75,349.1964883844052,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,158.0,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.33333333333334,164.8,0,6,5,914,824
